"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Edn3",289.991946789657,-1.59178577176303,0.179089092293047,-8.88823407043886,6.20877773594255e-19,1.95903276457766e-17
"Slco4a1",49.7668797305556,6.38797761960692,0.726478317405151,8.79307402101637,1.45522529504699e-18,4.47388494554191e-17
"Cat",2654.68373835586,-0.362408071984639,0.0412792306570076,-8.7794289335457,1.64306771766218e-18,4.92509548369239e-17
"Ada",114.116864236616,1.46881853995459,0.168286932039601,8.72806059361129,2.59076846200547e-18,7.57641801449893e-17
"Dpp7",1165.99435687651,-0.695894959126782,0.0802226708515147,-8.67454239232229,4.15216746105003e-18,1.18534494899976e-16
"Thbd",22344.7075310077,-0.936383305012044,0.109179052160735,-8.5765839369395,9.7732357440105e-18,2.72514178071362e-16
"B4galt5",2397.63099289462,0.909115210673707,0.106945854609011,8.50070546443699,1.88441946426922e-17,5.13504304013363e-16
"Arhgap1",4008.14613266517,0.436497433110007,0.0516799874119464,8.44615981870586,3.01041505337894e-17,8.02108366444744e-16
"Dsn1",85.2571973982357,2.29943508530911,0.273646398327618,8.40294299271629,4.35426095881359e-17,1.13182946366623e-15
"Ddrgk1",1978.59501965441,-0.581044335286265,0.0691658424136535,-8.40074110297492,4.43669597934218e-17,1.13182946366623e-15
"Psmd14",1042.55231190309,0.706044715896596,0.0842069676429684,8.38463532958668,5.08832515429716e-17,1.27102122083381e-15
"Nusap1",91.495904428825,2.48867631347624,0.300638200847297,8.27797767037698,1.2528471293115e-16,3.06564022049896e-15
"AA467197",26.7887627451973,5.41069475761924,0.666479659375844,8.11831941380828,4.72683394894893e-16,1.13349478095795e-14
"Mybl2",84.6113250535479,3.09210505783898,0.383811545372175,8.05631069498085,7.86316181909213e-16,1.84861392570421e-14
"Fgf7",3252.06073754898,-0.615668748883969,0.0767099622624545,-8.02592949762546,1.00760079751399e-15,2.32329491580629e-14
"Sqrdl",2591.56508092945,-0.510443937380549,0.063820086898202,-7.99817051635713,1.26281414147477e-15,2.85681916156274e-14
"Samhd1",3981.16373484888,0.916983979922831,0.115013530959828,7.97283565046895,1.550743421756e-15,3.44322474571378e-14
"Psma7",1737.03599188589,0.511300620752655,0.0644015688282731,7.93925722704115,2.03395575243213e-15,4.43402354030205e-14
"Gorasp2",4086.53135178584,0.335802146928815,0.0423259939236922,7.93370966159043,2.126950124095e-15,4.55395214069625e-14
"Fbln7",458.240986326903,-1.57704722948956,0.199309327334067,-7.91256109577968,2.52147057659925e-15,5.30393547603947e-14
"Ifih1",1126.66682869272,0.654932234455995,0.0836419039877805,7.83019280086781,4.87122378411543e-15,1.00699953744041e-13
"Rbl1",290.975828138844,1.32851207848819,0.174762770630709,7.6018025675243,2.92034038906919e-14,5.93472563812536e-13
"Nup188",1575.31285571467,0.521517680174682,0.0687857751032681,7.5817664246965,3.4088157107068e-14,6.81195006189576e-13
"Otud1",670.797419788528,-0.759944150228775,0.100285067367385,-7.57783955456489,3.51356525879839e-14,6.90617171360536e-13
"Vim",54833.395886656,0.408533625391476,0.0541026245957916,7.55108700259347,4.31640362642035e-14,8.34736765819032e-13
"Dzank1",167.293790012564,-1.1112733089834,0.148121055126205,-7.50246687101003,6.26278459613959e-14,1.1919172588526e-12
"Mastl",62.3522777404561,2.97916779524078,0.397836337566503,7.48842555072731,6.97047074284828e-14,1.30587412823048e-12
"Atp5g3",2374.79120556643,0.549759045652997,0.0735288066209011,7.47678455448675,7.6163123333154e-14,1.40491669040695e-12
"Rnf114",1371.01119901864,0.51062099040526,0.068461476914482,7.45851555383616,8.75026917623588e-14,1.58963223368285e-12
"Prnp",3796.14543240854,-0.596385264664452,0.0805506933497144,-7.40385017016823,1.32291681629255e-13,2.36742875035041e-12
"Hat1",413.657179788186,1.0546460471374,0.143121679720899,7.36887695277238,1.72071386441099e-13,3.03402341680703e-12
"Mafb",1086.64289833199,-1.09763796806001,0.149474014692755,-7.34333636730245,2.08334064948663e-13,3.62018179526734e-12
"Uck1",1558.40383770877,-0.64844878730943,0.0884676986680872,-7.32978021438399,2.30530483915022e-13,3.9486578602016e-12
"Tgif2",295.073216508498,0.882492853316314,0.120792761150142,7.30584221201305,2.755353622297e-13,4.65305491990719e-12
"D630003M21Rik",541.988276964339,-1.22138170924014,0.167432957612539,-7.29475084628543,2.99212265615021e-13,4.98271536767237e-12
