"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Snhg11",61.5968484051057,-2.72407144670375,0.344401465871369,-7.90958145259803,2.58255684048112e-15,3.02933917388435e-12
"B2m",47966.8992345823,-0.504028106081533,0.0677871733758318,-7.4354495250459,1.0421295548935e-13,6.11208983945037e-11
"Celf1",1761.06762470045,0.458169842535061,0.0744387858648144,6.15498811825231,7.50831244760235e-10,2.93575016701252e-07
"Ryr3",88.3034782963267,-1.51133375022745,0.249986655395505,-6.04565770855392,1.48801712236529e-09,4.03271790162681e-07
"OTTMUSG00000016609",131.265158486707,-22.1539242682195,3.67861495582066,-6.02235475424395,1.71897608764996e-09,4.03271790162681e-07
"Slpi",32.0791130695604,-4.05540762753801,0.745045505155125,-5.44316769845305,5.23413281215503e-08,1.02327296477631e-05
"Grem1",272.494177319261,-5.96777188260104,1.17883722966525,-5.06242230260718,4.13962792814227e-07,6.06972944963861e-05
"Nkain4",265.534135787121,0.632928668370062,0.124599575233009,5.07970165376926,3.7802806839654e-07,6.06972944963861e-05
"Fbln7",458.240986326903,-0.981288113989732,0.198925376003819,-4.93294588002133,8.09986037084857e-07,0.000105568180166726
"Lcn2",1871.18964768913,-1.89378209191717,0.420440251012127,-4.50428351557269,6.65972476521343e-06,0.000719983185586017
"Ggt7",138.342483768064,-0.782128952657307,0.173753626677618,-4.50136764113975,6.75176047864125e-06,0.000719983185586017
"Il1rn",48.573527504289,-5.55729219514775,1.24187932285631,-4.4749051641878,7.64452358002756e-06,0.000747252179947694
"Wfdc12",7.52183218079612,-5.19651139283759,1.17069900901849,-4.43881078979843,9.0457293567764e-06,0.000816203118115286
"Syt13",76.6651999165807,-3.31147083340034,0.789506363599421,-4.1943561015811,2.73647801923462e-05,0.00226483830795859
"Adamtsl2",16026.622871421,0.677738009154738,0.162080999817423,4.18147722384597,2.89621267002377e-05,0.00226483830795859
"Ccdc3",136.207108390605,1.08146239240896,0.279820309604167,3.8648459575318,0.000111159331512776,0.00814936849153039
"Bcl2l1",1533.06192270085,0.176649499585614,0.0462494535676738,3.81949376606438,0.000133725838981814,0.0087144671736482
"Psd4",4.64784571654921,-4.69788336339646,1.22607865362573,-3.83163294581795,0.000127295557168324,0.0087144671736482
"Pmepa1",10576.7363295773,0.304307929540575,0.0826038885458006,3.68394194144804,0.000229654571139787,0.0115693702092495
"Rcn1",8625.26631780105,0.252286835711633,0.0681573116698327,3.70153736306032,0.000214297092099318,0.0115693702092495
"Rapsn",27.8543090190226,-1.11103206068809,0.302221147375335,-3.67622209874108,0.000236713456966741,0.0115693702092495
"Trim44",3368.69212318892,0.148801163776767,0.0399310460429032,3.72645293631653,0.000194193311797302,0.0115693702092495
"Col5a1",37296.8106827663,0.442514626787851,0.11936361267364,3.70728245296797,0.00020949524526671,0.0115693702092495
"Nnat",206.095759491823,-0.929694818208974,0.252146510470323,-3.68712149327324,0.000226805088470393,0.0115693702092495
"Kcnb1",1771.21006216143,0.313617473970074,0.0871183123031573,3.5999030017792,0.000318335907840166,0.0149363207958606
"Gpr176",483.669961542506,-0.596503452590928,0.167627858118328,-3.5584983265124,0.000372981167191581,0.0168271888121432
"Kcnip3",143.452302299176,-0.554790520947716,0.159921841320501,-3.46913539993486,0.000522136236355851,0.0226839187127931
"Prr5l",814.81397570619,-0.58196281188624,0.169003796469545,-3.44348957859721,0.000574258725350385,0.0232277753391725
"Pkp4",766.49906217336,0.338806023500375,0.0981234371234916,3.45285523451422,0.000554686595139382,0.0232277753391725
"Acvr1",1531.98176180854,0.349010474444315,0.103730084339746,3.3646022430793,0.000766540774329766,0.0299717442762938
"Frmd5",59.2374551954594,-1.06990152653517,0.31887231998024,-3.35526622881997,0.000792886384932134,0.0300017977266256
"Ube2e3",1628.736910367,0.210847656044749,0.063153905251646,3.33863211157878,0.000841919849156347,0.0308616244706373
"Prkcq",4.73684240623777,-4.98643588521222,1.50258356663351,-3.31857475081014,0.000904781021504671,0.0321608526734842
"Creb3l1",4476.60064327351,0.359436108050861,0.109977042859575,3.26828307713101,0.00108202085282028,0.0373297194222998
"Npdc1",2511.35208919467,-0.248662748438745,0.0763788939251092,-3.2556474133098,0.00113134149530559,0.0379161021140986
"Slc2a6",12.7400380340673,-4.00026663894796,1.23365060645205,-3.24262527657862,0.00118433867460517,0.0385897018142185
"Nacc2",1370.31287094211,0.253704775990107,0.0798380742748499,3.17774167644255,0.00148426930265355,0.0470553484327732
