"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Aurka",133.31750038209,-2.70524601552396,0.264512292493892,-10.2272979074741,1.49636253092405e-24,8.54351749799014e-23
"Thbd",22344.7075310077,1.11194177880771,0.10919821219755,10.1827837327236,2.36691668162608e-24,1.28996959148621e-22
"Ada",114.116864236616,-1.76897174546567,0.179425663085685,-9.85907876857553,6.26212844261763e-23,3.26447478378197e-21
"Ncaph",108.426162679594,-4.1076777113724,0.418899397874526,-9.80588115479409,1.06215873426571e-22,5.30636800993576e-21
"Rbl1",290.975828138844,-1.69734497329457,0.179628366296727,-9.44920342086022,3.41418991475091e-21,1.63744548311454e-19
"Fam129b",3120.96665718152,-0.782120544243017,0.0832494367470068,-9.39490493635247,5.72695153472838e-21,2.64100572697666e-19
"Bub1",79.3561686516533,-7.62950240113234,0.81298189157582,-9.38459082568729,6.31612004099295e-21,2.80482515894465e-19
"Casc5",53.5604357182597,-5.21394272260625,0.557221077578358,-9.35704504442952,8.19978311402039e-21,3.5112642691823e-19
"Pamr1",7694.11296715253,0.870797406778606,0.0936548538073479,9.29794208605433,1.43190193535621e-20,5.92017386376584e-19
"Kcnb1",1771.21006216143,0.807206028069692,0.0877012695394721,9.20404040110718,3.44737591852225e-20,1.37780124210272e-18
"Mcm10",55.2934953638318,-5.82641297015285,0.633517714167118,-9.1969219484459,3.68349837827177e-20,1.42468211469286e-18
"Surf4",8674.83319447836,-0.551306097717894,0.0604253869965496,-9.12374955495732,7.25691415373967e-20,2.71907502197933e-18
"Cst3",37540.1291095756,0.594038701470562,0.0656194092625069,9.05278953509231,1.39361731607953e-19,5.06347624842229e-18
"Arhgap11a",121.834875392713,-2.18664498713157,0.243008511862326,-8.99822384974891,2.29398706604659e-19,8.08967791820548e-18
"Sox12",247.980303564601,-1.3854441542454,0.154045732819055,-8.99371977977972,2.3900131587699e-19,8.18750222104317e-18
"Psma7",1737.03599188589,-0.583512382896342,0.0653952891889789,-8.92285040914967,4.54438355807814e-19,1.51353219059325e-17
"Mmp9",88.9032409241055,-5.80225114651048,0.652235337282508,-8.89594723690554,5.79230973394782e-19,1.87702145162255e-17
"Grem1",272.494177319261,-10.3466810050721,1.17358405749129,-8.8163101219947,1.18293545617822e-18,3.73247266304653e-17
"Syt13",76.6651999165807,-6.73506505749345,0.775037928076357,-8.68998124286623,3.62499334133008e-18,1.11445308109096e-16
"Ptges",4349.38195538383,-0.71117840682371,0.0819625916201348,-8.67686578432938,4.06824741594689e-18,1.21945716293008e-16
"Dok5",48.1221989954039,-2.69628406655438,0.311226563634385,-8.6634123870026,4.57848445038627e-18,1.33892752585686e-16
"Spc25",61.3758759075036,-3.88562270509648,0.458148921246092,-8.4811346811168,2.2300828854389e-17,6.36635566581249e-16
"Ifih1",1126.66682869272,-0.707502873406966,0.084827531381555,-8.34048641854979,7.39855604535702e-17,2.01610652235979e-15
"Ube2c",95.8865480601733,-3.86757476369168,0.463616934307516,-8.34217751227853,7.29348576976781e-17,2.01610652235979e-15
"Rad51",83.449669634845,-2.54738178524288,0.307515855614205,-8.28374127296612,1.19364783647075e-16,3.18040834650762e-15
"Osbpl6",439.456619492541,0.66837928860453,0.0809945179981508,8.25215465347655,1.55563924311957e-16,4.05480750543556e-15
"Slco4a1",49.7668797305556,-9.3758709585154,1.13877132203054,-8.23332198232505,1.82091898389764e-16,4.64528055679418e-15
"Sardh",1702.70400910167,-0.571460593147975,0.0694637659787912,-8.22674361367701,1.92371610228071e-16,4.80528251382201e-15
"Rnf114",1371.01119901864,-0.569639496910274,0.0696005564921244,-8.18441009124304,2.73640747212216e-16,6.69582154913158e-15
